state,totalvote,blue,red
Alabama,9,-,9
Alaska,3,-,3
Arizona,8,8,-
Arkansas,6,6,-
California,54,54,-
Colorado,8,-,8
Connecticut,8,8,-
Delaware,3,3,-
District of Columbia,3,3,-
Florida,25,25,-
Georgia,13,-,13
Hawaii,4,4,-
Idaho,4,-,4
Illinois,22,22,-
Indiana,12,-,12
Iowa,7,7,-
Kansas,6,-,6
Kentucky,8,8,-
Louisiana,9,9,-
Maine,4,4,-
Maryland,10,10,-
Massachusetts,12,12,-
Michigan,18,18,-
Minnesota,10,10,-
Mississippi,7,-,7
Missouri,11,11,-
Montana,3,-,3
Nebraska,5,-,5
Nevada,4,4,-
New Hampshire,4,4,-
New Jersey,15,15,-
New Mexico,5,5,-
New York,33,33,-
North Carolina,14,-,14
North Dakota,3,-,3
Ohio,21,21,-
Oklahoma,8,-,8
Oregon,7,7,-
Pennsylvania,23,23,-
Rhode Island,4,4,-
South Carolina,8,-,8
South Dakota,3,-,3
Tennessee,11,11,-
Texas,32,-,32
Utah,5,-,5
Vermont,3,3,-
Virginia,13,-,13
Washington,11,11,-
West Virginia,5,5,-
Wisconsin,11,11,-
Wyoming,3,-,3
